full_address,description,rooms,area,price,labels,property_link,contact,company
1090 Wien,Wunderschönes 3-Zimmer-Appartement in sehr guter und zentraler Lage,3,85 m²,1.200 €,,http://www.immobilienscout24.at/expose/631b11658df937ec9925d7b1,Maximilian Siebenhofer,private
1180 Wien,schöne Dachgeschosswohnung mit Terrasse und Parkblick!,5,150 m²,"2.496,15 €","TERRACE,REMOTE_VIEWING_AVAILABLE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/627cdd5346eb85cd52d5403c,Eva Krulis,private
"1190 Wien 19.,Döbling",***Neustift am Walde: charming apartment with panoramic view***,5,225 m²,"3.299,89 €","BALCONY,TERRACE,PARKING_PARKING_SPACE",http://www.immobilienscout24.at/expose/631f46dcf139d8046e0f8ac0,Mag. Martin Knor,private
"1020 Wien, Leopoldstadt",DIREKT BEIM AUGARTEN ! HELLE GERÄUMIGE NEUBAUMIETE,2,50 m²,669 €,,http://www.immobilienscout24.at/expose/631b10e9b1931e11b65dd9ef,Team Immowuk,private
"Pohlgasse, 1120 Wien",MODERNE WOHNUNGEN - NÄHE SCHÖNBRUNN,2 – 2,"47,57 – 47,57 m²",from 750 €,DEVELOPER_LISTING,http://www.immobilienscout24.at/expose/631b0ebeb1931e11b65dca46,Linda Schmidtberger,private
"Römergasse 59/8, 1160 Wien","LA VERDE VITA: 3-Zimmerwohnung mit Balkon im 2. Stock, PROVISIONSFREI",3,"57,04 m²",995 €,"BALCONY,TERRACE,OLDBUILDING",http://www.immobilienscout24.at/expose/62f38185346f7582e22ab5ff,Delara Daneshgar,private
1220 Wien,Dachterrassenwohnung mit traumhaft schönem Fernblick und Garagenplatz!,2,52 m²,"983,27 €","TERRACE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/62d13a1d30da21fc81649e87,Claudia Sailer,private
1220 Wien,Dachterrassenwohnung mit traumhaft schönem Fernblick!,2,52 m²,"861,44 €","TERRACE,PARKING_GENERIC",http://www.immobilienscout24.at/expose/631b461fb1931e11b65f3d88,Claudia Sailer,private
1220 Wien,Dachterrassenwohnung mit traumhaft schönem Fernblick!,2,52 m²,"861,44 €","TERRACE,PARKING_GENERIC",http://www.immobilienscout24.at/expose/631b461f8df937ec99273bc7,Claudia Sailer,private
1160 Wien / Ottakring,Jetzt zuschlagen! 2 Zimmer Wohntraum im 4. Liftstock!,2,"41,7 m²","635,87 €",,http://www.immobilienscout24.at/expose/628cb3583a52a6f4143b9d3c,Clemens Gamper,private
"Huttengasse, 1160 Wien",orea | Moderne 2 Zimmer-Wohnung mit Balkon | Smart besichtigen · Online anmieten | HUT,2,"46,34 m²","749,01 €",BALCONY,http://www.immobilienscout24.at/expose/6321b6e0fec70ba71df902c8,orea  home,private
1020 Wien,"Charmante 2-Zimmerwohnung im 1. Dachgeschoss, Nähe Augarten",2,"53,57 m²","799,58 €",,http://www.immobilienscout24.at/expose/62c80040adbc15c35a7ff70d,Ruschitzka-Schilhorn Marion,private
1040 Wien,4. Kolschitzkygasse KLASSISCHE 3-ZIMMER ALTBAUMIETE NAHE DEM PALAIS SCHÖNBURG,3,90 m²,1.090 €,OLDBUILDING,http://www.immobilienscout24.at/expose/631f0f508347fd8f985223b6,Natascha Hennlich,private
1100 Wien,1100 Nähe Reumannplatz! Freundliche 2-Zimmer Altbauwohnung!,2,"49,2 m²","672,29 €",OLDBUILDING,http://www.immobilienscout24.at/expose/63160084629616753bdcceeb,Steindl & Herzel Immobilien,private
1100 Wien,Freundliche 2-Zimmer Altbauwohnung Nähe Reumannplatz!,2,"53,83 m²","735,55 €",OLDBUILDING,http://www.immobilienscout24.at/expose/63160084629616753bdcceee,Steindl & Herzel Immobilien,private
1220 Wien,"""Big Terrace UNO-CITY-Copa Kagrana!""",3,82 m²,"1.581,03 €",TERRACE,http://www.immobilienscout24.at/expose/62cbf035b3aaa673649f8888,Wilhelm Fetscher,private
1160 Wien,Hofseitig und ruhig! 4m² Balkon!!! 2019 errichtet!!!,1,37 m²,699 €,BALCONY,http://www.immobilienscout24.at/expose/6298a8e1e689f5ac7d9cf566,Kerstin Fried,private
1080 Wien,TOPWOHNUNG in Bestlage beim Schönbornpark,2,"51,4 m²",1.100 €,"FURNISHED_PART,OLDBUILDING",http://www.immobilienscout24.at/expose/62f37ca5346f7582e22a8a88,Sylvia Hochleitner,private
"Morsegasse, 1210 Wien",***3-Zimmer-Neubauwohnung mit Loggia***,3,70 m²,1.070 €,"REMOTE_VIEWING_AVAILABLE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/63184b781ad56dc790ec94dc,Sven Mayer,private
1040 Wien,Wunderschön renovierte Altbauwohnung beim Naschmarkt,3,131 m²,"2.376,03 €",OLDBUILDING,http://www.immobilienscout24.at/expose/63203c05ec84f16ca87ec478,Sophie Schmück,private
"Meiselstraße, 1140 Wien",SCHÖNE ALTBAUWOHNUNG NÄHE HÜTTELDORFERSTRASSE,2.5,69 m²,"799,02 €",OLDBUILDING,http://www.immobilienscout24.at/expose/63146bca98bf6847252d5124,Mirela KRISTO,private
"Weyringergasse 30, 1040 Wien",Dachgeschoss Maisonette auf 3 Ebenen mit Dachterrasse mit herrlichem Ausblick über Wien,3,"118,1 m²","1.955,15 €",TERRACE,http://www.immobilienscout24.at/expose/62f22844fb1d1d149640de53,Andrea Sailer,private
"Columbusgasse, 1100 Wien",Gut aufgeteilte 3-Zimmer Wohnung nahe U1 Reumannplatz zu vermieten,3,"67,57 m²","973,69 €",REMOTE_VIEWING_AVAILABLE,http://www.immobilienscout24.at/expose/631b06398df937ec99257fbe,Nicolas Büttner,private
"Ungargasse, 1030 Wien",Neuwertige Balkonwohnung in absoluter Hofruhelage (Mietbeginn 01.09.2022),2,"40,54 m²","782,01 €","BALCONY,PARKING_GARAGE",http://www.immobilienscout24.at/expose/63171dbd007bf8fced1f6be7,Stefan Ziegler,private
" Handelskai 100/stiege 4, 1200 Wien",Klimaaktiv wohnen! 3 Zimmer mit Blick auf die Donauinsel. Gute Anbindung zur Innenstadt. Neubau(VIE206),3,73 m²,2.180 €,"GARDEN,BALCONY,FURNISHED_FULL",http://www.immobilienscout24.at/expose/631b0046b1931e11b65d54e2,Burcu Cicek,private
"1130 Wien,Hietzing","Heureka! Tolle Atmosphäre in einer 2,5 Zimmer Wohnung mit fantastischem Grünblick!",2.5,"63,5 m²","877,01 €",,http://www.immobilienscout24.at/expose/626fa43c89692a8a7f55992b,Mag. Michael Moser,private
1220 Wien,Traumwohnung mit Traumfernblick und Balkon,error,"42,33 m²",750 €,BALCONY,http://www.immobilienscout24.at/expose/631f7d49f139d8046e10a336,Riepl Pascal Immobilien GmbH.,private
1210 Wien,Optimal aufgeteilte 2 - Zimmer Wohnung mit Gartennutzung inkl. Einbauküche &amp; Fernblick im 21. Bezirk - Top Ruhelage.,2,"50,9 m²","639,1 €",,http://www.immobilienscout24.at/expose/63026016d0298a4c6cdeb838,Manuel Daniloglu,private
1220 Wien,Traumhafte DG-Wohnung mit Blick ins Grüne!,2.5,74 m²,1.307 €,"TERRACE,REMOTE_VIEWING_AVAILABLE,PARKING_GENERIC",http://www.immobilienscout24.at/expose/6298c7efbb644b58a03d5ee5,Tamara Staguhn,private
" Handelskai 100/stiege 4, 1200 Wien",Klimaaktiv wohnen! 3 Zimmer mit Blick auf die Donauinsel. Gute Anbindung zur Innenstadt. Neubau (VIE201),3,73 m²,2.140 €,"BALCONY,FURNISHED_FULL",http://www.immobilienscout24.at/expose/631aff0cb1931e11b65d4bac,Burcu Cicek,private
1220 Wien,… ein sonniger schöner großzügiger Balkon__Ruhe &amp; Kraft zeichnen die Wohnung aus.,1,40 m²,650 €,BALCONY,http://www.immobilienscout24.at/expose/62f371b8346f7582e22a39a9,Kathi Wilde,private
"Obere Donaustraße 17, 1020 Wien",Wunderschöne 2 Zimmerwohnung mit Blick auf die Grünanlage,2,"51,21 m²","959,51 €","BALCONY,REMOTE_VIEWING_AVAILABLE,PARKING_GENERIC",http://www.immobilienscout24.at/expose/631afe1b8df937ec99253dd8,Doris Kurzweil,private
"Jägerstraße 38, 1200 Wien","Neubau 2 Zimmerwohnung angrenzend am 1. Bezirk, Friedensbrücke und Donau (VIE213)",2,39 m²,1.360 €,"BALCONY,FURNISHED_FULL",http://www.immobilienscout24.at/expose/631afde3b1931e11b65d3fba,Burcu Cicek,private
"Gersthofer Straße, 1180 Wien",Terrassenwohnung Hofruhelage in Gersthof,3,89 m²,1.348 €,"TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/6318bc1678f229b60ffadc4a,Ferdinand Stubenvoll,private
1230 Wien,*** TOP AUSGESTATTET *** ERHOLUNGSGEBIET *** ABSOLUTE RUHELAGE *** BALKON ***,3,83 m²,1.249 €,"GARDEN,BALCONY,REMOTE_VIEWING_AVAILABLE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/63198acc78f229b60fff13e4,Heindrich Schreiter,private
"Breitenfelder G. 18, 1080 Wien","Bestlage im 8. Bezirk, Altbautraum top saniert, hoch, sonnig &amp; geräumig, UBahn in Gehweite, Studio (VIE30)",1,51 m²,1.390 €,"FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/631afc5c8df937ec9925350e,Burcu Cicek,private
1220 Wien,"Kagraner Platz – Nachmieter*in für Supergeförderte Mietwohnung – 1 Zimmer, 57,31 m² gesucht!",1.5,"57,31 m²",550 €,"BALCONY,PARKING_GARAGE,FURNISHED_FULL",http://www.immobilienscout24.at/expose/631afbedb1931e11b65d2f62,Sabrina Ofenauer,private
"Landskrongasse, 1010 Wien",City - Apartment,2,53 m²,"1.389,71 €",FURNISHED_FULL,http://www.immobilienscout24.at/expose/62f36eb7346f7582e22a1e81,Gerhard Wagner,private
"Himmelpfortstiege  1, 1090 Wien","Traumhaft sanierter Stilaltbau, Erstbezug, Himmelpfortstiege, Bestlage + U4/U6, geräumige 3,5 Zimmer(VIE13)",3,90 m²,2.390 €,"FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/631af9058df937ec99250f5c,Burcu Cicek,private
"Goldeggasse, 1040 Wien",GOLDEGG GARDENS - Traumhafte 4-Zimmerwohnung mit großer Südostterrasse!,4,"110,63 m²",2.590 €,"TERRACE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/631af8f98df937ec99250d80,Hannah Friedl,private
1050 Wien,Unbefristet // DG mit TERRASSE und KLIMA // 3er-WG geeignet!,error,"84,81 m²","1.367,75 €",TERRACE,http://www.immobilienscout24.at/expose/632034db3f1e794b4fbca74c,Joseph Gasteiger-Rabenstein,private
1030 Wien,helle 2 Zimmerwohnung mit Fernblick | ZELLMANN IMMOBILIEN,2.5,46 m²,"732,92 €",,http://www.immobilienscout24.at/expose/631c3b8b8df937ec992c1450,Christian Zellmann,private
"Gallgasse, 1130 Wien",Elegantes 2 Zimmer Terrassenapartment in Speisinger Toplage,2,71 m²,1.099 €,"GARDEN,TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/631af7fbb1931e11b65d0c2c,Alexandra Muck,private
"Leopoldauer Straße 131, 1210 Wien",Projekt LEO 131 – HIER KÖNNEN SIE ERSCHWINGLICH UND HOCHWERTIG WOHNEN! NEUBAU + ERSTBEZUG! JETZT ANFRAGEN,3,"69,95 m²",1.090 €,"BALCONY,TERRACE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/631ee3058df937ec99390492,Ihsan Poyraz,private
1180 Wien,Wohnen in Währing - zentrumsnah,2,57 m²,850 €,REMOTE_VIEWING_AVAILABLE,http://www.immobilienscout24.at/expose/62c7e79dc0b7b376813e852f,Familie Libowitzky,private
1220 Wien,Breitenlee - Lindenhof - Erstbezug! 42 freifinanzierte Mietwohnungen - in den Größen von ca. 39m² bis ca. 90m².,2,"44,19 m²","698,19 €","BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631af611b1931e11b65cfb2c,Marcus Liftl,private
"Ostmarkgasse 57, 1210 Wien",PROVISIONSFREI - SMART LIVING ALTE DONAU,2,"57,6 m²",920 €,"TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/631af5d1b1931e11b65cf812,Alexandra Plessnig,private
"Rienößlgasse 16, 1040 Wien",2-Zimmer EG mit separater Küche - zwischen Karlsplatz und Naschmarkt,2,70 m²,690 €,REMOTE_VIEWING_AVAILABLE,http://www.immobilienscout24.at/expose/631af0fbb1931e11b65cc9cf,B Yildirim,private
"1130 Wien,Hietzing",1 BMM Provision! 2-Zimmer-Wohnung mit Loggia! Nahe U-Bahn-Station Unter St. Veit,2,"66,5 m²",935 €,,http://www.immobilienscout24.at/expose/630b463f4351c4630fafdd33,Emre Er,private
"Kendlerstraße 27, 1140 Wien","U-Bahn-Nähe | Balkon | hofseitige, hochwertige, zentral begehbare 2 Zimmer-Wohnung",2,49 m²,792 €,"BALCONY,REMOTE_VIEWING_AVAILABLE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/62f361bf346f7582e22969f0,Mag. (FH) Markus Verner,private
"Sedlitzkygasse, 1110 Wien",IM ZENTRUM von Simmering 3-Zimmer Wohnung zu Vermieten,3,70 m²,770 €,OLDBUILDING,http://www.immobilienscout24.at/expose/631aeea8b1931e11b65cadd8,Dina Matatov,private
"Hauslabgasse 40, 1050 Wien",Altbau mit dem gewissen Etwas! Hochwertig sanierte 3 Zimmer Wohnung. Lage: nahe Hauptbahnhof!(VIE205),3,97 m²,2.150 €,"BALCONY,FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/631aeeb58df937ec9924ad66,Burcu Cicek,private
"Pernerstorfergasse 94, 1100 Wien",2-ZIMMER-PÄRCHENHIT!!!,2,"65,51 m²","895,73 €",,http://www.immobilienscout24.at/expose/631aee7bb1931e11b65cab47,Mag. (FH) Doris Kastl,private
"Seyringer Straße 1, 1210 Wien",Citygate 4 Zimmer Maisonette Wohnung. ,4,115 m²,1.400 €,BALCONY,http://www.immobilienscout24.at/expose/631aed22b1931e11b65c9d0a,Moustafa Zaki ,private
"Groß-Enzersdorfer Straße 74, 1220 Wien",ZÖGERN SIE NICHT! JETZT ZUSCHLAGEN UND SCHNÄPPCHEN SICHERN! WUNDERSCHÖNE 4-ZIMMER-WOHNUNG IN ASPERN! BALKON/LOGGIA! - JETZT ANFRAGEN. - WOHNTRAUM,4,"90,64 m²","1.414,35 €",PARKING_BASEMENT_GARAGE,http://www.immobilienscout24.at/expose/6320af0497b5de1d0255a326,Lucas Carlsen,private
"Remystraße 34, 1100 Wien",Mietwohnung U-Bahnnähe- Oberlaa,2,56 m²,899 €,"TERRACE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/62d116f630da21fc81634a90,Günther Krems,private
"Stadlauer Straße 64, 1220 Wien","2-Zimmer-Wohnung Neubau inkl Komplettküche, Balkon Außenfläche und Kellerabteil / SP64 Top 3-17",2,"44,49 m²","673,82 €","BALCONY,TERRACE",http://www.immobilienscout24.at/expose/63086b57638ec44744815a5a,Haring Immobilien Treuhand GmbH (Vermietung),private
1030 Wien,"Hochwertige, vollmöblierte und ruhig gelegene 2 Zimmer Wohnung beim Rochusmakrt, inklusive Garagenplatz",2,"55,05 m²",1.849 €,"PARKING_GENERIC,FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/631ae7728df937ec99245f86,Mag.(FH) Andreas Willmann,private
1050 Wien,Großzügige DG-Wohnung mit Süd-Terrasse in der Margaretenstraße,2,62 m²,1.090 €,TERRACE,http://www.immobilienscout24.at/expose/62f359decc5461bda10c840a,Robert Fried,private
1140 Wien,PROVISIONSFREI! Balkonwohnung in Ruhelage,2,56 m²,"846,75 €",BALCONY,http://www.immobilienscout24.at/expose/62fb8308c978661a4a896a0a,Mag. Karin LOCSMANDI,private
1030 Wien,"moderne, praktische 2-Zimmer Wohnung mit traumhafter Küche // Erstbezug nach Sanierung",2.5,"68,97 m²","1.099,59 €",REMOTE_VIEWING_AVAILABLE,http://www.immobilienscout24.at/expose/631f3b19f139d8046e0f335e,Viktoria Frohner,private
"Arsenal, 1030 Wien",Wohnkomfort in Grünruhelage nahe dem Hauptbahnhof,3,"71,2 m²",970 €,BALCONY,http://www.immobilienscout24.at/expose/631ae0e1304d5ad2f5b56df4,Josef Michelfeit,private
1070 Wien,2er WG geeignete Wohnung mit perfekter Anbindung!,2,"58,5 m²",945 €,,http://www.immobilienscout24.at/expose/631adcafd45eeaa76311eb37,Dr. Claudia Bonk,private
"1180 Wien, Währing",Ruhige gartenseitige 3 Zimmer - Wohnung mit großer Loggia in bester Lage,2.5,88 m²,"1.499,66 €",,http://www.immobilienscout24.at/expose/63172aa65f22dd25d2aabcd1,Dr. Marion Kral,private
"Bäuerlegasse 1, 1200 Wien","Bright and well connected studio, fully furnished - until summer 2023 or up to 3 years",1,34 m²,620 €,FURNISHED_FULL,http://www.immobilienscout24.at/expose/631ad811304d5ad2f5b55721,Franz S,private
"Lange Gasse, Schönbornpark, 1070 Wien",möblierte Altbauwohnung nahe Rathaus mit Parkblick,2,50 m²,1.100 €,OLDBUILDING,http://www.immobilienscout24.at/expose/631ad718304d5ad2f5b554de,Sebastian Laßmann,private
"Anton-Bosch-Gasse 18, 1210 Wien",DACHGESCHOSS-TRAUMWOHNUNG IN DONAU-NÄHE!  . - WOHNTRAUM,3,"87,94 m²","1.138,88 €",OLDBUILDING,http://www.immobilienscout24.at/expose/631dfdd68df937ec993446c5,Lucas Carlsen,private
1020 Wien,ERSTKLASSIG UND HOCHMODERN MIT WEITBLICK,2,44 m²,990 €,"TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/6320108df139d8046e13ed3f,Barbara Gräf,private
1130 Wien,Hietzinger Hauptstraße - U4 Unter St. Veit - KFZ Stapelparker möglich,2,60 m²,849 €,PARKING_BASEMENT_GARAGE,http://www.immobilienscout24.at/expose/631ac055304d5ad2f5b4f12c,Manuel Plachner,private
1010 Wien,Tuchlauben: Exklusive Altbauwohnung in kleinem Stadthaus zu vermieten,error,129 m²,"2.251,25 €",OLDBUILDING,http://www.immobilienscout24.at/expose/606ff83447f998002251690b,Anna Elsässer,private
"Laaer-Berg-Straße 110, 1100 Wien","Das Projekt ""VIOLAA"", 167 Neubauwohnungen mit Freifläche im ERSTBEZUG! PROVISIONSFREI!",2 – 2,"54,01 – 55,12 m²","from 818,99 €","DEVELOPER_LISTING,BALCONY,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/61cf6ab999a6ef002168c7ce,Projekt Vermarktung,private
1010 Wien,#SQ SANIERTE ERSTBEZUG INNENSTADTWOHNUNG,2.5,"83,8 m²",1.395 €,OLDBUILDING,http://www.immobilienscout24.at/expose/62880ab162537643f1cca3fc,Boris Bueer,private
1030 Wien,U3 Gasometer: Modern Living mit Balkon + Garagenplatz,2,49 m²,"851,91 €","GARDEN,BALCONY,PARKING_GARAGE",http://www.immobilienscout24.at/expose/631a8426304d5ad2f5b27740,Josef Huber,private
1010 Wien," Top Lage - Rudolfsplatz - Wien, Wien",4,"135,81 m²","2.909,5 €","BALCONY,TERRACE",http://www.immobilienscout24.at/expose/61cb6d74d57b300025ca8c21,Sarah Wertheimer,private
1090 Wien,"Top möblierte Wohnung - Ring, Servittenviertel, Börse - Wien, Wien",4,180 m²,4.297 €,,http://www.immobilienscout24.at/expose/62504ebb08d5854063e3fde5,Sarah Wertheimer,private
"1100 Wien,Favoriten",*** MAISONETTE *** BALKON *** RUHELAGE ***,3,72 m²,950 €,"BALCONY,REMOTE_VIEWING_AVAILABLE,PARKING_PARKING_SPACE",http://www.immobilienscout24.at/expose/631a600d304d5ad2f5b24b41,Heindrich Schreiter,private
1190 Wien,"IGLASEEGASSE, GRÜNLAGE, sonnige 57 m2 Altbau, 2 Zimmer, Wohnküche, Wannenbad, Parketten, Ruhelage, 2er-WG-geeignet",3,"56,69 m²","977,17 €",OLDBUILDING,http://www.immobilienscout24.at/expose/62f2d2170ab4a6a1dfc5f2d8,Alexander Ros,private
1180 Wien, Singlewohnung mit moderner Küche und neuem Badezimmer,1,37 m²,690 €,,http://www.immobilienscout24.at/expose/62e2ff202576bdfae2b64461,Z. Dzontic,private
1180 Wien,Großzügige Wohnung mit BALKON und EINZELGARAGE,3,80 m²,1.195 €,"BALCONY,PARKING_GENERIC",http://www.immobilienscout24.at/expose/631a5b0b304d5ad2f5b241e0,Mag. Michael Fiam,private
1220 Wien,Miniwohnung mit Balkon sucht Single oder Pärchen,1,50 m²,"640,2 €","BALCONY,FURNISHED_PART",http://www.immobilienscout24.at/expose/62cb4104eac5f1a9627ee59c,Irene Hruska,private
1120 Wien,UNBEFRISTETE 80 m³ MIETWOHNUNG in 1120 Wien ab 1.9.2022 verfügbar,3,80 m²,890 €,,http://www.immobilienscout24.at/expose/62cb40fc4d5be102d164af20,Verena Latinovich,private
1010 Wien,"1010 Wien Rotenturmstraße, 120 m² first Class Apartment all inclusive!!",4.5,120 m²,2.499 €,FURNISHED_FULL,http://www.immobilienscout24.at/expose/631a5af7d45eeaa7630ec95d,Michael Hölzel,private
"1150 Wien,Rudolfsheim-Fünfhaus","Top Miet-Objekt, Entzückende 3 Zimmer Wohnung (T09) im 15. Bezirk Märzstraße 55, 1150 Wien",3,"74,29 m²",990 €,OLDBUILDING,http://www.immobilienscout24.at/expose/627c26df6fd1dc2213a98252,Ehsan Karimian,private
"1150 Wien,Rudolfsheim-Fünfhaus","Top Miet-Objekt, Entzückende 2 Zimmer Wohnung (T19) im 15. Bezirk Märzstraße 55, 1150 Wien",2,"51,4 m²",790 €,OLDBUILDING,http://www.immobilienscout24.at/expose/627c26d9ebbfe5293a7f0b94,Ehsan Karimian,private
"Wehlistraße 61, 1200 Wien",Provisionsfreie 1-Zimmer-Wohnung mit hochwertiger Einbauküche und Balkon! Direkt bei der U-Bahn!,1,"35,57 m²",715 €,GARDEN,http://www.immobilienscout24.at/expose/62a2f32c192545dcdf06fae1,Team Am Donaukai Caroline Asen / MMag. Andreas Staudinger,private
"1060 Wien,Mariahilf","Top bezugsfertige 3 Zimmer Altbaumiete, nähe Mariahilfer Straße",3,"68,21 m²",900 €,"REMOTE_VIEWING_AVAILABLE,OLDBUILDING",http://www.immobilienscout24.at/expose/631a5884304d5ad2f5b23922,Rodica Fous,private
1100 Wien,&gt;&gt;&gt; DEIN TIGER MUSS IM DSCHUNGEL BLEIBEN &lt;&lt;&lt;,2,"54,87 m²",795 €,"GARDEN,TERRACE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/6308d58e4351c4630fa4d12e,Ruhollah Ghiami,private
1010 Wien,Luxus für Expats! Elegant möblierte 4-Zimmer-Altbau-Wohnung beim Graben zur Kurzzeitvermietung,4,"103,37 m²",3.800 €,"FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/62cb3c01eac5f1a9627ed01c,Mag. Katalin Onody,private
"Vorgartenstraße 204, 1020 Wien",Helles Apartment in Top-Lage,1,23 m²,650 €,"TERRACE,FURNISHED_FULL",http://www.immobilienscout24.at/expose/62f2bec30ab4a6a1dfc5d2c6,Soman Naeybkhil,private
"Kupetzkygasse 43, 1220 Wien",AKTION - 1. MONAT MIETZINSFREI! PROVISIONSFREI! URBAN GARDENING – TOP MODERNER ERSTBEZUG – LEBEN UND GENIEßEN IN NEUESSLING,2,"51,94 m²",799 €,"BALCONY,TERRACE",http://www.immobilienscout24.at/expose/63207e4397b5de1d02544d38,Ihsan Poyraz,private
"Kupetzkygasse 43, 1220 Wien",***AKTION - 1. MONAT MIETZINSFREI! PROVISIONSFREI! URBAN GARDENING – TOP MODERNER ERSTBEZUG – LEBEN UND GENIEßEN IN NEUESSLING***,2,"49,37 m²","798,96 €","BALCONY,TERRACE",http://www.immobilienscout24.at/expose/63218d7dfec70ba71df7ba6d,Ihsan Poyraz,private
"Kupetzkygasse 43, 1220 Wien",AKTION - 1. MONAT MIETZINSFREI! PROVISIONSFREI! URBAN GARDENING – TOP MODERNER ERSTBEZUG – LEBEN UND GENIEßEN IN NEUESSLING. - WOHNTRAUM,2,"49,41 m²","799,68 €","BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f6848f139d8046e1044a9,Ihsan Poyraz,private
"Kupetzkygasse 43, 1220 Wien",AKTION - 1. MONAT MIETZINSFREI! PROVISIONSFREI! URBAN GARDENING – TOP MODERNER ERSTBEZUG – LEBEN UND GENIEßEN IN NEUESSLING,2,"64,56 m²",899 €,TERRACE,http://www.immobilienscout24.at/expose/63207e4397b5de1d02544d35,Ihsan Poyraz,private
"Kupetzkygasse 43, 1220 Wien",AKTION - 1. MONAT MIETZINSFREI! PROVISIONSFREI! URBAN GARDENING – TOP MODERNER ERSTBEZUG – LEBEN UND GENIEßEN IN NEUESSLING. - WOHNTRAUM,2,"51,72 m²","799,14 €","BALCONY,TERRACE",http://www.immobilienscout24.at/expose/631f68488347fd8f98542be3,Ihsan Poyraz,private
1130 Wien,Grünruhelage - Top-sanierte Garconniere - Hochwertige Ausstattung,1,"34,9 m²","630,84 €",,http://www.immobilienscout24.at/expose/63204340ec84f16ca87f0cba,Stefan Luschnig,private
1130 Wien,Sonnige Zwei-Zimmer-Wohnung - Ausgezeichnetes Raumkonzept - Zustand wie Erstbezug,2,"43,25 m²","758,02 €",,http://www.immobilienscout24.at/expose/632043403f1e794b4fbd673d,Stefan Luschnig,private
1220 Wien,Direkter Blick auf Badeteich Hirschstetten! Geräumige Terrasse und Balkon! Moderne Küche mit Marken-Geräte! Erstbezug! Garagenstellplatz möglich,3,"65,2 m²",1.296 €,"BALCONY,TERRACE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/63201f51f139d8046e144a4a,Daniel Stoica,private
1060 Wien,Günstige Studenten-Wohnung inkl. Heizung,1.5,40 m²,590 €,"REMOTE_VIEWING_AVAILABLE,FURNISHED_FULL",http://www.immobilienscout24.at/expose/631a451ed45eeaa7630ea5de,Silvija Fijuljanin,private
"Oskar-Grissemann-Straße, 1210 Wien",Perfekt geschnittene Wohnung für Familien mit Freifläche,4,"108,52 m²",1.799 €,"GARDEN,BALCONY,TERRACE,REMOTE_VIEWING_AVAILABLE,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/63187ca18647f04ed2ffe885,Benedikt Wawra,private
"Wehlistraße 61, 1200 Wien","PROVISIONSFREI! Studio Apartment mit exklusiver Einbauküche, hochwertigem Bad und eigenem Balkon",1,"35,57 m²",699 €,GARDEN,http://www.immobilienscout24.at/expose/631a40b4304d5ad2f5b21425,Team Am Donaukai Caroline Asen / MMag. Andreas Staudinger,private
1100 Wien,&gt;&gt;&gt; MODERNER NEUBAU FÜR ZWEI MIT BALKON &lt;&lt;&lt;,2,"49,37 m²",785 €,BALCONY,http://www.immobilienscout24.at/expose/6308d58e29786955249e2f4f,Ruhollah Ghiami,private
"Wehlistraße 61, 1200 Wien",Wohnen am WASSER | AM DONAUKAI | Erstbezugswohnungen Nähe Millennium City | Fußbodenheizung,1,"33,86 m²",699 €,GARDEN,http://www.immobilienscout24.at/expose/631a3ea7304d5ad2f5b20884,Team Am Donaukai Caroline Asen / MMag. Andreas Staudinger,private
1130 Wien,Unbefristeter 40m² Altbau mit Einbauküche und Gartenblick - 1130 Wien,1,40 m²,"593,36 €","GARDEN,PARKING_GARAGE,OLDBUILDING",http://www.immobilienscout24.at/expose/631a3e54d45eeaa7630e8dbb,Mag. Astarte Aichholzer,private
